Name,Surename,Country,Ranking,Points,Date,Event,Discipline,Category,Location
B-Boy Wigor - Igor Szymon,Wypiór,POL,17,200,15-Dec-23,BfG World Series,Breaking,Adult,"Hong Kong - Hong Kong, China"
B-Boy Wigor - Igor Szymon,Wypiór,POL,28,,23-Sep-23,World Championship,Breaking,Adult,Leuven - Belgium
B-Boy Wigor - Igor Szymon,Wypiór,POL,6,380,30-Aug-23,BfG World Series,Breaking,Adult,Porto - Portugal
B-Boy Wigor - Igor Szymon,Wypiór,POL,8,,26-Jun-23,Continental Games,Breaking,Adult,Nowy Sącz - Poland
B-Boy Wigor - Igor Szymon,Wypiór,POL,6,152,3-Jun-23,BfG International Series,Breaking,Adult,Montreal - Canada
B-Boy Wigor - Igor Szymon,Wypiór,POL,19,200,17-May-23,BfG World Series,Breaking,Adult,Montpellier - France
B-Boy Wigor - Igor Szymon,Wypiór,POL,7,360,6-May-23,Continental Championship,Breaking,Adult,Almeria - Spain
B-Boy Wigor - Igor Szymon,Wypiór,POL,15,240,14-Apr-23,BfG World Series,Breaking,Adult,Rio de Janerio - Brazil
B-Boy Wigor - Igor Szymon,Wypiór,POL,28,200,24-Feb-23,BfG World Series,Breaking,Adult,Kitakyushu - Japan
B-Boy Wigor - Igor Szymon,Wypiór,POL,3,650,5-Nov-22,Continental Championship,Breaking,Adult,Manchester - England
B-Boy Wigor - Igor Szymon,Wypiór,POL,30,200,21-Oct-22,World Championship,Breaking,Adult,Seoul - South Korea
B-Boy Spina Flow - Salvador Alexander,Hernandez Perez,ESA,89,,23-Sep-23,World Championship,Breaking,Adult,Leuven - Belgium
B-Boy Fill - Firdavs,Dzhuraev,TJK,25,,6-Oct-23,Continental Games,Breaking,Adult,Hangzhou - People's Republic of China
B-Boy Dorob - Dorobshokhi,Sadriddin,TJK,24,,6-Oct-23,Continental Games,Breaking,Adult,Hangzhou - People's Republic of China
B-Boy Jester - Oğuzhan,Karademir,TJK,0,,15-Dec-23,BfG World Series,Breaking,Adult,"Hong Kong - Hong Kong, China"
B-Boy Jester - Oğuzhan,Karademir,TJK,54,,23-Sep-23,World Championship,Breaking,Adult,Leuven - Belgium
B-Boy Jester - Oğuzhan,Karademir,TJK,35,100,30-Aug-23,BfG World Series,Breaking,Adult,Porto - Portugal
B-Boy Jester - Oğuzhan,Karademir,TJK,47,40,17-Jun-23,BfG International Series,Breaking,Adult,Madrid - Spain
B-Boy Jester - Oğuzhan,Karademir,TJK,40,100,17-May-23,BfG World Series,Breaking,Adult,Montpellier - France
B-Boy Jester - Oğuzhan,Karademir,TJK,51,100,6-May-23,Continental Championship,Breaking,Adult,Almeria - Spain
B-Boy Jester - Oğuzhan,Karademir,TJK,71,50,14-Apr-23,BfG World Series,Breaking,Adult,Rio de Janerio - Brazil
B-Boy Jester - Oğuzhan,Karademir,TJK,36,100,24-Feb-23,BfG World Series,Breaking,Adult,Kitakyushu - Japan
B-Boy Jester - Oğuzhan,Karademir,TJK,22,40,19-Nov-22,BfG Challenge Series,Breaking,Adult,Tokyo - Japan
B-Boy Jester - Oğuzhan,Karademir,TJK,96,50,5-Nov-22,Continental Championship,Breaking,Adult,Manchester - England
B-Boy Jester - Oğuzhan,Karademir,TJK,0,,21-Oct-22,World Championship,Breaking,Adult,Seoul - South Korea
B-Boy Jester - Oğuzhan,Karademir,TJK,32,,4-Dec-21,World Championship,Breaking,Adult,Paris - France
B-Boy Jester - Oğuzhan,Karademir,TJK,25,,26-Jun-21,Continental Championship,Breaking,Adult,Sochi - Russia
